sample_id,filetype,filename,path,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,study,accession,bioproject_accession,biosample_accession,generator_contact,generator_facility,library_strategy,library_source,platform,instrument_model,total_gpb,n50,mm_tag,primrose_filename,lima_version
HG03831,bam,m84081_231119_015049_s1.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/m84081_231119_015049_s1.hifi_reads.bc2084.bam,WUSTL_HPRC_HiFi_Year2_TopUp,12.9,,,,7.0.0,SRP305758,SRR30545909,PRJNA701308,SAMN26237514,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,39.84,20729,TRUE,,2.7.1
HG03831,bam,m84081_231119_022155_s2.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/m84081_231119_022155_s2.hifi_reads.bc2084.bam,WUSTL_HPRC_HiFi_Year2_TopUp,13.9,,,,7.0.0,SRP305758,SRR30545903,PRJNA701308,SAMN26237514,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,42.94,20726,TRUE,,2.7.1
HG03831,bam,m84081_231119_025301_s3.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/m84081_231119_025301_s3.hifi_reads.bc2084.bam,WUSTL_HPRC_HiFi_Year2_TopUp,13.1,,,,7.0.0,SRP305758,SRR30545902,PRJNA701308,SAMN26237514,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,40.74,20748,TRUE,,2.7.1
HG00738,bam,m84081_231112_034048_s4.hifi_reads.bc2079.bam,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2079.bam,WUSTL_HPRC_HiFi_Year2_TopUp,30.5,,,,7.0.0,SRP305758,SRR30545901,PRJNA701308,SAMN26237493,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,94.56,20018,TRUE,,2.7.1
HG02280,bam,m84081_231117_211338_s4.hifi_reads.bc2087.bam,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/m84081_231117_211338_s4.hifi_reads.bc2087.bam,WUSTL_HPRC_HiFi_Year2_TopUp,17.7,,,,7.0.0,SRP305758,SRR30545900,PRJNA701308,SAMN26237505,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,54.92,24260,TRUE,,2.7.1
HG02280,bam,m84081_231119_032407_s4.hifi_reads.bc2087.bam,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/m84081_231119_032407_s4.hifi_reads.bc2087.bam,WUSTL_HPRC_HiFi_Year2_TopUp,16.8,,,,7.0.0,SRP305758,SRR30545952,PRJNA701308,SAMN26237505,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,52.02,24145,TRUE,,2.7.1
HG01496,bam,m84081_231112_030942_s3.hifi_reads.bc2080.bam,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m84081_231112_030942_s3.hifi_reads.bc2080.bam,WUSTL_HPRC_HiFi_Year2_TopUp,24.4,,,,7.0.0,SRP305758,SRR30545951,PRJNA701308,SAMN26237497,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,75.52,20773,TRUE,,2.7.1
HG00609,bam,m84081_231124_014115_s1.hifi_reads.bc2090.bam,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2090.bam,WUSTL_HPRC_HiFi_Year2_TopUp,11,,,,7.0.0,SRP305758,SRR30545950,PRJNA701308,SAMN26237492,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,34.1,18828,TRUE,,2.7.1
HG00609,bam,m84081_231124_021221_s2.hifi_reads.bc2090.bam,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2090.bam,WUSTL_HPRC_HiFi_Year2_TopUp,9.4,,,,7.0.0,SRP305758,SRR30545949,PRJNA701308,SAMN26237492,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,29.07,18968,TRUE,,2.7.1
HG00609,bam,m84081_231124_024327_s3.hifi_reads.bc2090.bam,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2090.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.4,,,,7.0.0,SRP305758,SRR30545948,PRJNA701308,SAMN26237492,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,32.23,18941,TRUE,,2.7.1
HG01981,bam,m84081_231124_014115_s1.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2091.bam,WUSTL_HPRC_HiFi_Year2_TopUp,8.6,,,,7.0.0,SRP305758,SRR30545947,PRJNA701308,SAMN26237500,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,26.66,20501,TRUE,,2.7.1
HG01981,bam,m84081_231124_021221_s2.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2091.bam,WUSTL_HPRC_HiFi_Year2_TopUp,7.5,,,,7.0.0,SRP305758,SRR30545946,PRJNA701308,SAMN26237500,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,23.2,20703,TRUE,,2.7.1
HG01981,bam,m84081_231124_024327_s3.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2091.bam,WUSTL_HPRC_HiFi_Year2_TopUp,8.2,,,,7.0.0,SRP305758,SRR30545945,PRJNA701308,SAMN26237500,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,25.56,20656,TRUE,,2.7.1
HG02004,bam,m84081_231027_205726_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/m84081_231027_205726_s4.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,11.5,,,,7.0.0,SRP305758,SRR30545944,PRJNA701308,SAMN26237502,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,35.56,18634,TRUE,,2.7.1
HG02004,bam,m84081_231029_030755_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/m84081_231029_030755_s4.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.4,,,,7.0.0,SRP305758,SRR30545943,PRJNA701308,SAMN26237502,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,32.29,18939,TRUE,,2.7.1
HG01099,bam,m84081_231124_014115_s1.hifi_reads.bc2092.bam,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2092.bam,WUSTL_HPRC_HiFi_Year2_TopUp,9.2,,,,7.0.0,SRP305758,SRR30545941,PRJNA701308,SAMN26237494,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,28.49,20462,TRUE,,2.7.1
HG01099,bam,m84081_231124_021221_s2.hifi_reads.bc2092.bam,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2092.bam,WUSTL_HPRC_HiFi_Year2_TopUp,8,,,,7.0.0,SRP305758,SRR30545940,PRJNA701308,SAMN26237494,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,24.84,20646,TRUE,,2.7.1
HG01099,bam,m84081_231124_024327_s3.hifi_reads.bc2092.bam,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2092.bam,WUSTL_HPRC_HiFi_Year2_TopUp,8.8,,,,7.0.0,SRP305758,SRR30545939,PRJNA701308,SAMN26237494,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,27.32,20600,TRUE,,2.7.1
HG02809,bam,m84081_231117_193129_s1.hifi_reads.bc2089.bam,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m84081_231117_193129_s1.hifi_reads.bc2089.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10,,,,7.0.0,SRP305758,SRR30545938,PRJNA701308,SAMN26237510,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,30.96,24506,TRUE,,2.7.1
HG02809,bam,m84081_231117_201125_s2.hifi_reads.bc2089.bam,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m84081_231117_201125_s2.hifi_reads.bc2089.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10,,,,7.0.0,SRP305758,SRR30545937,PRJNA701308,SAMN26237510,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,31.12,24540,TRUE,,2.7.1
HG02809,bam,m84081_231117_204232_s3.hifi_reads.bc2089.bam,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m84081_231117_204232_s3.hifi_reads.bc2089.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.9,,,,7.0.0,SRP305758,SRR30545936,PRJNA701308,SAMN26237510,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,33.72,24689,TRUE,,2.7.1
HG01943,bam,m84081_231122_210358_s4.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/m84081_231122_210358_s4.hifi_reads.bc2093.bam,WUSTL_HPRC_HiFi_Year2_TopUp,15.2,,,,7.0.0,SRP305758,SRR30545935,PRJNA701308,SAMN26237499,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,47.16,19570,TRUE,,2.7.1
HG01943,bam,m84081_231124_031433_s4.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/m84081_231124_031433_s4.hifi_reads.bc2093.bam,WUSTL_HPRC_HiFi_Year2_TopUp,16.8,,,,7.0.0,SRP305758,SRR30545934,PRJNA701308,SAMN26237499,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,52.08,19508,TRUE,,2.7.1
HG02615,bam,m84081_231105_031800_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_HiFi/m84081_231105_031800_s4.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,36.3,,,,7.0.0,SRP305758,SRR30545929,PRJNA701308,SAMN26237508,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,112.52,17595,TRUE,,2.7.1
HG03669,bam,m84081_231124_014115_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,11,,,,7.0.0,SRP305758,SRR30545928,PRJNA701308,SAMN26237512,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,34.06,17478,TRUE,,2.7.1
HG03669,bam,m84081_231124_021221_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,9.2,,,,7.0.0,SRP305758,SRR30545927,PRJNA701308,SAMN26237512,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,28.47,17548,TRUE,,2.7.1
HG03669,bam,m84081_231124_024327_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.3,,,,7.0.0,SRP305758,SRR30545926,PRJNA701308,SAMN26237512,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,31.9,17537,TRUE,,2.7.1
HG01255,bam,m84081_231105_024654_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m84081_231105_024654_s3.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,34.5,,,,7.0.0,SRP305758,SRR30545925,PRJNA701308,SAMN26237495,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,106.8,22063,TRUE,,2.7.1
HG00544,bam,m84081_231117_211338_s4.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231117_211338_s4.hifi_reads.bc2086.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.9,,,,7.0.0,SRP305758,SRR30545924,PRJNA701308,SAMN26237491,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,33.64,23972,TRUE,,2.7.1
HG00544,bam,m84081_231119_032407_s4.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231119_032407_s4.hifi_reads.bc2086.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.3,,,,7.0.0,SRP305758,SRR30545923,PRJNA701308,SAMN26237491,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,31.95,23838,TRUE,,2.7.1
HG02698,bam,m84081_231105_021548_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/m84081_231105_021548_s2.hifi_reads.default.bam,WUSTL_HPRC_HiFi_Year2_TopUp,37.3,,,,7.0.0,SRP305758,SRR30545912,PRJNA701308,SAMN26237509,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,115.63,19419,TRUE,,2.7.1
HG02602,bam,m84081_231119_015049_s1.hifi_reads.bc2083.bam,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/m84081_231119_015049_s1.hifi_reads.bc2083.bam,WUSTL_HPRC_HiFi_Year2_TopUp,8.8,,,,7.0.0,SRP305758,SRR30545910,PRJNA701308,SAMN26237507,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,27.24,22516,TRUE,,2.7.1
HG02602,bam,m84081_231119_022155_s2.hifi_reads.bc2083.bam,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/m84081_231119_022155_s2.hifi_reads.bc2083.bam,WUSTL_HPRC_HiFi_Year2_TopUp,9.5,,,,7.0.0,SRP305758,SRR30545908,PRJNA701308,SAMN26237507,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,29.4,22536,TRUE,,2.7.1
HG02602,bam,m84081_231119_025301_s3.hifi_reads.bc2083.bam,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/m84081_231119_025301_s3.hifi_reads.bc2083.bam,WUSTL_HPRC_HiFi_Year2_TopUp,9,,,,7.0.0,SRP305758,SRR30545907,PRJNA701308,SAMN26237507,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,27.92,22557,TRUE,,2.7.1
HG03710,bam,m84081_231117_193129_s1.hifi_reads.bc2082.bam,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/m84081_231117_193129_s1.hifi_reads.bc2082.bam,WUSTL_HPRC_HiFi_Year2_TopUp,13.3,,,,7.0.0,SRP305758,SRR30545906,PRJNA701308,SAMN26237513,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,41.3,21621,TRUE,,2.7.1
HG03710,bam,m84081_231117_201125_s2.hifi_reads.bc2082.bam,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/m84081_231117_201125_s2.hifi_reads.bc2082.bam,WUSTL_HPRC_HiFi_Year2_TopUp,13.3,,,,7.0.0,SRP305758,SRR30545905,PRJNA701308,SAMN26237513,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,41.38,21629,TRUE,,2.7.1
HG03710,bam,m84081_231117_204232_s3.hifi_reads.bc2082.bam,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/m84081_231117_204232_s3.hifi_reads.bc2082.bam,WUSTL_HPRC_HiFi_Year2_TopUp,14.2,,,,7.0.0,SRP305758,SRR30545904,PRJNA701308,SAMN26237513,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,44.03,21684,TRUE,,2.7.1
HG00642,bam,m54329U_210524_174516.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/m54329U_210524_174516.hifi_reads.bam,UW_HPRC_HiFi_Y2,12,13.52,HG00642.m54329U_210524_174516.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m54329U_210524_174516.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158610,PRJNA701308,SAMN26267378,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,37.25,20226,TRUE,m54329U_210524_174516.5mc.hifi_reads.bam,
HG01346,bam,m54329U_210624_221223.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m54329U_210624_221223.hifi_reads.bam,UW_HPRC_HiFi_Y2,11.7,13.13,HG01346.m54329U_210624_221223.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m54329U_210624_221223.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158609,PRJNA701308,SAMN26267379,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,36.3,18422,TRUE,m54329U_210624_221223.5mc.hifi_reads.bam,
HG01346,bam,m64076_210526_105450.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m64076_210526_105450.hifi_reads.bam,UW_HPRC_HiFi_Y2,6.2,7.17,HG01346.m64076_210526_105450.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m64076_210526_105450.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158604,PRJNA701308,SAMN26267379,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,19.33,18707,TRUE,m64076_210526_105450.5mc.hifi_reads.bam,
HG02071,bam,m54329U_210507_224951-bc1011_BAK8A_OA.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_HiFi/m54329U_210507_224951-bc1011_BAK8A_OA.hifi_reads.bam,UW_HPRC_HiFi_Y2,1,1.32,HG02071.m54329U_210507_224951.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m54329U_210507_224951.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158591,PRJNA701308,SAMN26267380,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,3.03,20494,TRUE,m54329U_210507_224951-bc1011_BAK8A_OA.5mc.hifi_reads.bam,2.1.0
HG02071,bam,m64076_210604_225751.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_HiFi/m64076_210604_225751.hifi_reads.bam,UW_HPRC_HiFi_Y2,10.8,12.88,HG02071.m64076_210604_225751.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m64076_210604_225751.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158592,PRJNA701308,SAMN26267380,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,33.63,19088,TRUE,m64076_210604_225751.5mc.hifi_reads.bam,
HG02074,bam,m54329U_210507_224951-bc1010_BAK8A_OA.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_HiFi/m54329U_210507_224951-bc1010_BAK8A_OA.hifi_reads.bam,UW_HPRC_HiFi_Y2,1,1.35,HG02074.m54329U_210507_224951.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m54329U_210507_224951.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158593,PRJNA701308,SAMN26267381,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,3.17,18325,TRUE,m54329U_210507_224951-bc1010_BAK8A_OA.5mc.hifi_reads.bam,2.1.0
HG02074,bam,m54329U_210626_074001.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_HiFi/m54329U_210626_074001.hifi_reads.bam,UW_HPRC_HiFi_Y2,11.6,13.39,HG02074.m54329U_210626_074001.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m54329U_210626_074001.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158594,PRJNA701308,SAMN26267381,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,35.81,19059,TRUE,m54329U_210626_074001.5mc.hifi_reads.bam,
HG02132,bam,m54329U_210627_170630.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/m54329U_210627_170630.hifi_reads.bam,UW_HPRC_HiFi_Y2,12.6,14.05,HG02132.m54329U_210627_170630.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m54329U_210627_170630.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158595,PRJNA701308,SAMN26267382,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,39.21,20057,TRUE,m54329U_210627_170630.5mc.hifi_reads.bam,
HG02132,bam,m64076_210525_000003.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/m64076_210525_000003.hifi_reads.bam,UW_HPRC_HiFi_Y2,6.1,7.26,HG02132.m64076_210525_000003.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m64076_210525_000003.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158596,PRJNA701308,SAMN26267382,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,18.99,19409,TRUE,m64076_210525_000003.5mc.hifi_reads.bam,
HG02647,bam,m54329U_210604_200442.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/m54329U_210604_200442.hifi_reads.bam,UW_HPRC_HiFi_Y2,10.6,12.1,HG02647.m54329U_210604_200442.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m54329U_210604_200442.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158597,PRJNA701308,SAMN26267383,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,32.89,17951,TRUE,m54329U_210604_200442.5mc.hifi_reads.bam,
HG03927,bam,m54329U_210522_083046.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/m54329U_210522_083046.hifi_reads.bam,UW_HPRC_HiFi_Y2,10,11.1,HG03927.m54329U_210522_083046.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m54329U_210522_083046.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158598,PRJNA701308,SAMN26267386,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,31.02,16380,TRUE,m54329U_210522_083046.5mc.hifi_reads.bam,
HG03942,bam,m54329U_210507_224951-bc1017_BAK8B_OA.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_HiFi/m54329U_210507_224951-bc1017_BAK8B_OA.hifi_reads.bam,UW_HPRC_HiFi_Y2,0.9,1.28,HG03942.m54329U_210507_224951.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG03942/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03942.m54329U_210507_224951.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158599,PRJNA701308,SAMN26267387,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,2.94,20000,TRUE,m54329U_210507_224951-bc1017_BAK8B_OA.5mc.hifi_reads.bam,2.1.0
HG03942,bam,m54329U_210613_071322.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_HiFi/m54329U_210613_071322.hifi_reads.bam,UW_HPRC_HiFi_Y2,6.5,7.67,HG03942.m54329U_210613_071322.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG03942/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03942.m54329U_210613_071322.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158601,PRJNA701308,SAMN26267387,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,20.2,18028,TRUE,m54329U_210613_071322.5mc.hifi_reads.bam,
HG04115,bam,m64076_210623_104349.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/m64076_210623_104349.hifi_reads.bam,UW_HPRC_HiFi_Y2,10.6,12.85,HG04115.m64076_210623_104349.dc.q20.fastq.gz,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04115.m64076_210623_104349.dc.q20.fastq.gz,6.0.0,SRP305758,SRR18158600,PRJNA701308,SAMN26267388,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Sequel II,32.88,20717,TRUE,m64076_210623_104349.5mc.hifi_reads.bam,
