sample_id,filename,filetype,biosample_accession,library_strategy,library_source,platform,instrument_model,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,read_N50,total_gbp,coverage,100kb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG00738,06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237493,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,82004,92.07,27.9,11,9,SRR26313837,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04115,07_27_21_R941_HG04115_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267388,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,76195,24.85,7.53,2.6,0,SRR26313818,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04115,07_27_21_R941_HG04115_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267388,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,79848,49.13,14.89,5.47,0,SRR26313818,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04115,07_27_21_R941_HG04115_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267388,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80123,25.3,7.67,2.84,0,SRR26313818,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04157,08_03_21_R941_HG04157_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706909,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/guppy_6/08_03_21_R941_HG04157_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,76817,97.61,29.58,10.29,2,SRR26304604,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04157,08_03_21_R941_HG04157_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706909,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/guppy_6/08_03_21_R941_HG04157_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,75575,106.58,32.3,11.03,0,SRR26304604,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04157,08_03_21_R941_HG04157_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706909,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/guppy_6/08_03_21_R941_HG04157_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,74339,78.71,23.85,8.01,3,SRR26304604,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04160,08_03_21_R941_HG04160_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706910,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/guppy_6/08_03_21_R941_HG04160_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,69217,75.69,22.94,6.44,0,SRR26304603,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04160,08_03_21_R941_HG04160_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706910,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/guppy_6/08_03_21_R941_HG04160_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,68811,80.9,24.52,6.86,0,SRR26304603,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04160,08_03_21_R941_HG04160_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706910,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/guppy_6/08_03_21_R941_HG04160_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,67552,81.77,24.78,6.75,1,SRR26304603,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04184,08_25_21_R941_HG04184_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267397,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,87332,46.09,13.97,6,15,SRR26313856,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00738,07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237493,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72927,78.47,23.78,7.47,1,SRR26313837,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04184,08_25_21_R941_HG04184_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267397,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,99822,59.44,18.01,8.99,30,SRR26313856,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04184,08_25_21_R941_HG04184_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267397,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,89392,52.17,15.81,6.96,25,SRR26313856,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04187,08_10_21_R941_HG04187_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/guppy_6/08_10_21_R941_HG04187_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80040,25.66,7.78,2.83,0,SRR26304602,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04187,08_10_21_R941_HG04187_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/guppy_6/08_10_21_R941_HG04187_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,77575,66.07,20.02,6.95,0,SRR26304602,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04187,08_10_21_R941_HG04187_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/guppy_6/08_10_21_R941_HG04187_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,75818,60.84,18.44,6.19,0,SRR26304602,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04187,08_10_21_R941_HG04187_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/guppy_6/08_10_21_R941_HG04187_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,79819,2.82,0.86,0.31,0,SRR26304602,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04199,08_10_21_R941_HG04199_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267389,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/guppy_6/08_10_21_R941_HG04199_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,83714,95.87,29.05,11.2,1,SRR26313817,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04199,08_10_21_R941_HG04199_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267389,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/guppy_6/08_10_21_R941_HG04199_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80766,41.26,12.5,4.58,0,SRR26313817,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04199,08_10_21_R941_HG04199_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267389,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/guppy_6/08_10_21_R941_HG04199_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,71491,60.89,18.45,5.55,0,SRR26313817,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04204,08_10_21_R941_HG04204_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/guppy_6/08_10_21_R941_HG04204_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,87228,93.56,28.35,11.74,5,SRR26313816,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00738,07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237493,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,71965,88.09,26.69,8.23,5,SRR26313837,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04204,08_10_21_R941_HG04204_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/guppy_6/08_10_21_R941_HG04204_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,83571,70.98,21.51,8.43,2,SRR26313816,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04204,08_10_21_R941_HG04204_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/guppy_6/08_10_21_R941_HG04204_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,82249,27.6,8.36,3.19,0,SRR26313816,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04228,08_10_21_R941_HG04228_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267391,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04228/raw_data/nanopore/guppy_6/08_10_21_R941_HG04228_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,77428,100.06,30.32,10.71,2,SRR26313847,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04228,08_10_21_R941_HG04228_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267391,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04228/raw_data/nanopore/guppy_6/08_10_21_R941_HG04228_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,77232,49.57,15.02,5.27,1,SRR26313847,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04228,08_10_21_R941_HG04228_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267391,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04228/raw_data/nanopore/guppy_6/08_10_21_R941_HG04228_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,76339,88.93,26.95,9.37,1,SRR26313847,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01099,08_10_21_R941_HG01099_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237494,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01099/raw_data/nanopore/guppy_6/08_10_21_R941_HG01099_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,74857,79.51,24.09,7.9,6,SRR26313815,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01099,08_10_21_R941_HG01099_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237494,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01099/raw_data/nanopore/guppy_6/08_10_21_R941_HG01099_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,75225,84.33,25.55,8.39,1,SRR26313815,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01099,08_10_21_R941_HG01099_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237494,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01099/raw_data/nanopore/guppy_6/08_10_21_R941_HG01099_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,75724,65.67,19.9,6.6,0,SRR26313815,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01255,07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237495,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,76438,61.74,18.71,6.38,1,SRR26313852,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01255,07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237495,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,75335,88.28,26.75,8.92,2,SRR26313852,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01255,07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237495,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,77211,106.24,32.19,11.21,0,SRR26313852,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01346,08_17_21_R941_HG01346_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267379,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72488,49.22,14.92,4.89,13,SRR26313833,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01346,08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267379,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72436,99.49,30.15,9.7,6,SRR26313833,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01346,08_17_21_R941_HG01346_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267379,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72638,91,27.58,8.89,2,SRR26313833,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00544,07_13_21_R941_HG00544_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237491,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00544/raw_data/nanopore/guppy_6/07_13_21_R941_HG00544_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,62807,78.86,23.9,5.66,0,SRR26313840,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01496,08_17_21_R941_HG01496_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237497,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01496/raw_data/nanopore/guppy_6/08_17_21_R941_HG01496_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,83713,111.18,33.69,13.53,0,SRR26313850,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01496,08_17_21_R941_HG01496_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237497,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01496/raw_data/nanopore/guppy_6/08_17_21_R941_HG01496_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,75967,97.59,29.57,10.53,3,SRR26313850,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG01496,08_17_21_R941_HG01496_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237497,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01496/raw_data/nanopore/guppy_6/08_17_21_R941_HG01496_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,80965,58.91,17.85,6.87,1,SRR26313850,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
